"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 27 02:53:30 UTC 2023","Wed Sep 27 02:53:32 UTC 2023","1689","","6. Company Account","","","","6. Review Review Page",""
"passed","Wed Sep 27 02:20:32 UTC 2023","Wed Sep 27 02:21:03 UTC 2023","31203","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Wed Sep 27 02:52:56 UTC 2023","Wed Sep 27 02:53:09 UTC 2023","12813","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Wed Sep 27 03:20:46 UTC 2023","Wed Sep 27 03:21:12 UTC 2023","26216","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Wed Sep 27 02:19:35 UTC 2023","Wed Sep 27 02:20:10 UTC 2023","34969","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Sep 27 02:41:00 UTC 2023","Wed Sep 27 02:41:09 UTC 2023","8099","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Sep 27 03:12:31 UTC 2023","Wed Sep 27 03:12:31 UTC 2023","256","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Wed Sep 27 02:31:12 UTC 2023","Wed Sep 27 02:31:23 UTC 2023","11018","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Wed Sep 27 03:27:33 UTC 2023","Wed Sep 27 03:27:36 UTC 2023","3205","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Wed Sep 27 02:33:59 UTC 2023","Wed Sep 27 02:34:21 UTC 2023","21297","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Sep 27 04:07:36 UTC 2023","Wed Sep 27 04:08:00 UTC 2023","24701","","21. Forgot password function","","","","2. Reset password",""
"passed","Wed Sep 27 02:37:17 UTC 2023","Wed Sep 27 02:37:20 UTC 2023","3288","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Sep 27 02:37:20 UTC 2023","Wed Sep 27 02:37:21 UTC 2023","660","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Sep 27 03:28:07 UTC 2023","Wed Sep 27 03:28:16 UTC 2023","9314","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Wed Sep 27 02:21:16 UTC 2023","Wed Sep 27 02:21:43 UTC 2023","26209","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Wed Sep 27 04:07:23 UTC 2023","Wed Sep 27 04:07:35 UTC 2023","12438","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Wed Sep 27 02:44:09 UTC 2023","Wed Sep 27 02:45:11 UTC 2023","62294","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Wed Sep 27 03:27:36 UTC 2023","Wed Sep 27 03:27:40 UTC 2023","3401","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Wed Sep 27 03:09:00 UTC 2023","Wed Sep 27 03:09:02 UTC 2023","2697","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Wed Sep 27 02:43:59 UTC 2023","Wed Sep 27 02:44:04 UTC 2023","5004","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Wed Sep 27 02:52:45 UTC 2023","Wed Sep 27 02:52:53 UTC 2023","7355","","6. Company Account","","","","2. Create a Company Account",""
"passed","Wed Sep 27 02:28:48 UTC 2023","Wed Sep 27 02:28:51 UTC 2023","2433","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Sep 27 02:34:32 UTC 2023","Wed Sep 27 02:34:59 UTC 2023","27040","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Sep 27 02:44:04 UTC 2023","Wed Sep 27 02:44:09 UTC 2023","4784","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Sep 27 03:01:27 UTC 2023","Wed Sep 27 03:01:48 UTC 2023","20772","","9. Client Portal - Home","","","","1. Check links",""
"passed","Wed Sep 27 02:29:22 UTC 2023","Wed Sep 27 02:29:31 UTC 2023","9109","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Wed Sep 27 03:15:05 UTC 2023","Wed Sep 27 03:15:06 UTC 2023","992","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Wed Sep 27 02:20:21 UTC 2023","Wed Sep 27 02:20:21 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Wed Sep 27 02:53:42 UTC 2023","Wed Sep 27 02:53:45 UTC 2023","2305","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Sep 27 02:23:04 UTC 2023","Wed Sep 27 02:23:09 UTC 2023","5023","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Wed Sep 27 02:20:10 UTC 2023","Wed Sep 27 02:20:21 UTC 2023","10982","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Wed Sep 27 03:08:31 UTC 2023","Wed Sep 27 03:09:00 UTC 2023","28469","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Wed Sep 27 03:08:20 UTC 2023","Wed Sep 27 03:08:31 UTC 2023","11250","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Wed Sep 27 04:22:23 UTC 2023","Wed Sep 27 04:22:48 UTC 2023","24917","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Wed Sep 27 03:12:11 UTC 2023","Wed Sep 27 03:12:29 UTC 2023","17743","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Wed Sep 27 03:15:11 UTC 2023","Wed Sep 27 03:15:13 UTC 2023","1702","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Wed Sep 27 02:40:34 UTC 2023","Wed Sep 27 02:41:00 UTC 2023","26644","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Sep 27 04:02:58 UTC 2023","Wed Sep 27 04:03:02 UTC 2023","4275","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Wed Sep 27 02:40:23 UTC 2023","Wed Sep 27 02:40:31 UTC 2023","8659","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Wed Sep 27 02:20:21 UTC 2023","Wed Sep 27 02:20:32 UTC 2023","10247","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Wed Sep 27 02:42:53 UTC 2023","Wed Sep 27 02:42:56 UTC 2023","3014","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Sep 27 03:27:26 UTC 2023","Wed Sep 27 03:27:30 UTC 2023","4190","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Wed Sep 27 02:29:15 UTC 2023","Wed Sep 27 02:29:22 UTC 2023","7313","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Sep 27 04:10:29 UTC 2023","Wed Sep 27 04:10:29 UTC 2023","27","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Wed Sep 27 03:24:35 UTC 2023","Wed Sep 27 03:25:22 UTC 2023","46753","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Wed Sep 27 02:24:15 UTC 2023","Wed Sep 27 02:24:22 UTC 2023","6931","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Wed Sep 27 03:27:13 UTC 2023","Wed Sep 27 03:27:26 UTC 2023","12798","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Wed Sep 27 04:22:12 UTC 2023","Wed Sep 27 04:22:13 UTC 2023","1113","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Sep 27 03:21:14 UTC 2023","Wed Sep 27 03:21:55 UTC 2023","40224","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Wed Sep 27 03:27:30 UTC 2023","Wed Sep 27 03:27:33 UTC 2023","2876","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Wed Sep 27 04:10:29 UTC 2023","Wed Sep 27 04:10:31 UTC 2023","2332","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Wed Sep 27 03:45:09 UTC 2023","Wed Sep 27 03:45:48 UTC 2023","38582","","17.2 Create Test User on Live Portal","","","","6. Create a new user for Macro business",""
"passed","Wed Sep 27 03:20:42 UTC 2023","Wed Sep 27 03:20:45 UTC 2023","2545","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Sep 27 02:53:45 UTC 2023","Wed Sep 27 02:53:45 UTC 2023","520","","6. Company Account","","","","9. Review Final Review",""
"passed","Wed Sep 27 02:50:12 UTC 2023","Wed Sep 27 02:50:13 UTC 2023","644","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Wed Sep 27 04:22:10 UTC 2023","Wed Sep 27 04:22:12 UTC 2023","2027","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Wed Sep 27 02:21:03 UTC 2023","Wed Sep 27 02:21:16 UTC 2023","13567","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Wed Sep 27 04:13:24 UTC 2023","Wed Sep 27 04:13:27 UTC 2023","2510","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Wed Sep 27 04:04:56 UTC 2023","Wed Sep 27 04:05:15 UTC 2023","19436","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Wed Sep 27 03:21:12 UTC 2023","Wed Sep 27 03:21:14 UTC 2023","1987","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Wed Sep 27 03:15:06 UTC 2023","Wed Sep 27 03:15:11 UTC 2023","4928","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Wed Sep 27 02:31:12 UTC 2023","Wed Sep 27 02:31:12 UTC 2023","384","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Wed Sep 27 02:53:32 UTC 2023","Wed Sep 27 02:53:42 UTC 2023","10579","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Wed Sep 27 04:11:08 UTC 2023","Wed Sep 27 04:11:15 UTC 2023","6653","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Wed Sep 27 02:49:43 UTC 2023","Wed Sep 27 02:50:09 UTC 2023","25728","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Wed Sep 27 04:13:09 UTC 2023","Wed Sep 27 04:13:14 UTC 2023","5440","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Wed Sep 27 02:48:57 UTC 2023","Wed Sep 27 02:49:16 UTC 2023","19015","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Wed Sep 27 04:02:28 UTC 2023","Wed Sep 27 04:02:46 UTC 2023","17878","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Wed Sep 27 02:24:22 UTC 2023","Wed Sep 27 02:25:17 UTC 2023","55090","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Wed Sep 27 03:12:31 UTC 2023","Wed Sep 27 03:12:52 UTC 2023","21106","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Wed Sep 27 02:40:05 UTC 2023","Wed Sep 27 02:40:23 UTC 2023","18105","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Sep 27 03:20:28 UTC 2023","Wed Sep 27 03:20:42 UTC 2023","13903","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Wed Sep 27 02:34:21 UTC 2023","Wed Sep 27 02:34:29 UTC 2023","8062","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Wed Sep 27 02:42:56 UTC 2023","Wed Sep 27 02:43:57 UTC 2023","60221","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Wed Sep 27 04:10:19 UTC 2023","Wed Sep 27 04:10:29 UTC 2023","9785","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Wed Sep 27 03:31:47 UTC 2023","Wed Sep 27 03:32:11 UTC 2023","23187","","17.0 Create Test User on Live Portal","","","","2. Subscribe to Nucleus Wealth mailing list",""
"passed","Wed Sep 27 02:45:11 UTC 2023","Wed Sep 27 02:45:13 UTC 2023","2174","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Wed Sep 27 04:11:03 UTC 2023","Wed Sep 27 04:11:08 UTC 2023","4618","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Wed Sep 27 03:30:37 UTC 2023","Wed Sep 27 03:31:47 UTC 2023","70446","","17.0 Create Test User on Live Portal","","","","1. Create a new user on Live Portal",""
"passed","Wed Sep 27 04:05:33 UTC 2023","Wed Sep 27 04:05:34 UTC 2023","901","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Wed Sep 27 02:34:59 UTC 2023","Wed Sep 27 02:35:09 UTC 2023","9327","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Wed Sep 27 04:21:56 UTC 2023","Wed Sep 27 04:22:09 UTC 2023","13837","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Wed Sep 27 02:49:40 UTC 2023","Wed Sep 27 02:49:43 UTC 2023","2941","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Sep 27 04:22:48 UTC 2023","Wed Sep 27 04:22:49 UTC 2023","1530","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Wed Sep 27 02:28:51 UTC 2023","Wed Sep 27 02:29:15 UTC 2023","23939","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Wed Sep 27 04:05:22 UTC 2023","Wed Sep 27 04:05:30 UTC 2023","7854","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Wed Sep 27 03:27:48 UTC 2023","Wed Sep 27 03:28:07 UTC 2023","19056","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Wed Sep 27 04:02:56 UTC 2023","Wed Sep 27 04:02:58 UTC 2023","2511","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Wed Sep 27 03:12:29 UTC 2023","Wed Sep 27 03:12:31 UTC 2023","2436","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Wed Sep 27 04:22:13 UTC 2023","Wed Sep 27 04:22:23 UTC 2023","9585","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Wed Sep 27 02:43:57 UTC 2023","Wed Sep 27 02:43:59 UTC 2023","2060","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Wed Sep 27 02:36:55 UTC 2023","Wed Sep 27 02:36:58 UTC 2023","2435","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Wed Sep 27 03:27:43 UTC 2023","Wed Sep 27 03:27:48 UTC 2023","4848","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Wed Sep 27 03:14:47 UTC 2023","Wed Sep 27 03:15:05 UTC 2023","18466","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Wed Sep 27 03:09:02 UTC 2023","Wed Sep 27 03:09:04 UTC 2023","1226","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Wed Sep 27 02:21:54 UTC 2023","Wed Sep 27 02:22:26 UTC 2023","32029","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Wed Sep 27 02:48:45 UTC 2023","Wed Sep 27 02:48:55 UTC 2023","10183","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Wed Sep 27 03:39:40 UTC 2023","Wed Sep 27 03:40:04 UTC 2023","23211","","17.1 Create Test User on Live Portal","","","","5. Create a new user for Walk The World",""
"passed","Wed Sep 27 04:05:32 UTC 2023","Wed Sep 27 04:05:33 UTC 2023","1006","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Wed Sep 27 04:05:16 UTC 2023","Wed Sep 27 04:05:22 UTC 2023","6075","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Wed Sep 27 02:40:32 UTC 2023","Wed Sep 27 02:40:34 UTC 2023","2212","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Sep 27 04:10:31 UTC 2023","Wed Sep 27 04:11:03 UTC 2023","31928","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Wed Sep 27 04:10:00 UTC 2023","Wed Sep 27 04:10:19 UTC 2023","19205","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Wed Sep 27 02:48:26 UTC 2023","Wed Sep 27 02:48:45 UTC 2023","19042","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Sep 27 04:11:53 UTC 2023","Wed Sep 27 04:13:09 UTC 2023","75687","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Wed Sep 27 02:52:53 UTC 2023","Wed Sep 27 02:52:56 UTC 2023","3082","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Wed Sep 27 02:20:10 UTC 2023","Wed Sep 27 02:20:10 UTC 2023","46","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Wed Sep 27 03:32:11 UTC 2023","Wed Sep 27 03:32:56 UTC 2023","44743","","17.0 Create Test User on Live Portal","","","","3. Subscribe user via Investment Suitability Calculator",""
"passed","Wed Sep 27 02:34:29 UTC 2023","Wed Sep 27 02:34:32 UTC 2023","3284","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Sep 27 02:52:28 UTC 2023","Wed Sep 27 02:52:45 UTC 2023","17802","","6. Company Account","","","","1. Validate login credentials",""
"passed","Wed Sep 27 02:31:07 UTC 2023","Wed Sep 27 02:31:11 UTC 2023","4050","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Wed Sep 27 03:54:56 UTC 2023","Wed Sep 27 03:55:13 UTC 2023","17587","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Wed Sep 27 02:21:43 UTC 2023","Wed Sep 27 02:21:54 UTC 2023","11329","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Wed Sep 27 03:55:13 UTC 2023","Wed Sep 27 03:59:36 UTC 2023","262275","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Wed Sep 27 03:09:04 UTC 2023","Wed Sep 27 03:09:15 UTC 2023","11488","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Wed Sep 27 03:20:45 UTC 2023","Wed Sep 27 03:20:46 UTC 2023","1044","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Wed Sep 27 03:32:56 UTC 2023","Wed Sep 27 03:33:24 UTC 2023","28202","","17.0 Create Test User on Live Portal","","","","4. Subscribe user via Suitability Calculator",""
"passed","Wed Sep 27 02:23:54 UTC 2023","Wed Sep 27 02:24:15 UTC 2023","20636","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Wed Sep 27 04:02:46 UTC 2023","Wed Sep 27 04:02:56 UTC 2023","9775","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Wed Sep 27 02:31:23 UTC 2023","Wed Sep 27 02:31:24 UTC 2023","778","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Wed Sep 27 03:08:20 UTC 2023","Wed Sep 27 03:08:20 UTC 2023","437","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Wed Sep 27 04:05:30 UTC 2023","Wed Sep 27 04:05:32 UTC 2023","1983","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Wed Sep 27 04:11:48 UTC 2023","Wed Sep 27 04:11:53 UTC 2023","4533","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Wed Sep 27 03:28:16 UTC 2023","Wed Sep 27 03:28:19 UTC 2023","2333","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Wed Sep 27 02:49:16 UTC 2023","Wed Sep 27 02:49:21 UTC 2023","4731","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Wed Sep 27 02:50:09 UTC 2023","Wed Sep 27 02:50:12 UTC 2023","3347","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Wed Sep 27 04:13:14 UTC 2023","Wed Sep 27 04:13:24 UTC 2023","9865","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Wed Sep 27 04:14:07 UTC 2023","Wed Sep 27 04:15:01 UTC 2023","54498","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Wed Sep 27 04:13:27 UTC 2023","Wed Sep 27 04:14:07 UTC 2023","39718","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Wed Sep 27 03:08:03 UTC 2023","Wed Sep 27 03:08:19 UTC 2023","15997","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Wed Sep 27 04:05:22 UTC 2023","Wed Sep 27 04:05:22 UTC 2023","454","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Wed Sep 27 02:48:55 UTC 2023","Wed Sep 27 02:48:57 UTC 2023","2275","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Wed Sep 27 02:36:58 UTC 2023","Wed Sep 27 02:37:17 UTC 2023","19094","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Wed Sep 27 02:28:41 UTC 2023","Wed Sep 27 02:28:48 UTC 2023","6964","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Wed Sep 27 03:09:15 UTC 2023","Wed Sep 27 03:09:16 UTC 2023","995","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Wed Sep 27 02:58:50 UTC 2023","Wed Sep 27 02:59:18 UTC 2023","28817","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Wed Sep 27 03:27:40 UTC 2023","Wed Sep 27 03:27:43 UTC 2023","3006","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Wed Sep 27 02:28:20 UTC 2023","Wed Sep 27 02:28:41 UTC 2023","21473","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Wed Sep 27 02:53:09 UTC 2023","Wed Sep 27 02:53:15 UTC 2023","5825","","6. Company Account","","","","5. Complete Screen and tilts",""
